id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_balita_stunting,satuan,tahun,jumlah_ibu_hamil_kek_kunjungan,BALITA GIZI KURANG,BALITA KURUS,BALITA PENDEK,status_pencemaran_air,status_pencemaran_tanah,status_pencemaran_udara
182,32,JAWA BARAT,3272,KOTA SUKABUMI,1616,ORANG,2020,,1333,634,1683,,,
183,32,JAWA BARAT,3273,KOTA BANDUNG,9508,ORANG,2020,,7910,5739,9567,,,
184,32,JAWA BARAT,3274,KOTA CIREBON,2360,ORANG,2020,,2149,837,1902,,,
185,32,JAWA BARAT,3275,KOTA BEKASI,13964,ORANG,2020,,8228,7954,14194,,,
186,32,JAWA BARAT,3276,KOTA DEPOK,6425,ORANG,2020,,5948,3568,5718,,,
187,32,JAWA BARAT,3277,KOTA CIMAHI,3708,ORANG,2020,,2491,1204,3520,,,
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7746,ORANG,2020,,3738,1679,5373,,,
189,32,JAWA BARAT,3279,KOTA BANJAR,1355,ORANG,2020,49,1086,837,1355,3,,3
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,30844,ORANG,2021,3474,16821,18913,32123,41,18,69
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14347,ORANG,2021,2333,6543,9301,14356,53,21,42
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7768,ORANG,2021,1955,5146,7602,7750,42,12,33
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20461,ORANG,2021,1965,9596,14062,4870,50,17,55
194,32,JAWA BARAT,3205,KABUPATEN GARUT,10027,ORANG,2021,1884,5150,8932,10009,60,28,45
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15183,ORANG,2021,1549,4606,8597,15175,40,13,25
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3303,ORANG,2021,964,1977,3697,2673,17,7,16
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3665,ORANG,2021,806,2461,3866,3662,16,9,19
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,15220,ORANG,2021,2651,7876,13385,11670,63,10,48
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2934,ORANG,2021,960,2471,3705,2932,4,4,7
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8117,ORANG,2021,902,2381,5732,8092,19,6,22
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5208,ORANG,2021,696,5973,5586,5183,34,13,36
