index,SAYUR-SAYURAN,UMBI-UMBIAN,IKAN,TELUR,SUSU,PADI PADIAN,DAGING,KONSUMSI
452,12779,6682,15264,2425,3025,20774,3012,middle_comsumption
453,16137,3861,16770,2610,2815,22140,3209,middle_comsumption
454,14212,2492,13740,2266,2117,18592,2992,middle_comsumption
455,13091,7808,18849,2043,2247,20364,2509,middle_comsumption
456,12103,6446,14703,2279,2482,18512,2262,middle_comsumption
457,11683,3010,15142,1948,2908,18146,1806,middle_comsumption
458,15266,3105,17734,3234,2754,28310,6139,middle_comsumption
459,10871,5752,11846,1364,1589,20680,2592,middle_comsumption
460,16155,3183,17569,3879,5763,21162,5153,high_consumption
461,12331,4514,16859,2098,2608,21596,2635,middle_comsumption
462,14002,3229,17786,2759,1654,21305,1754,middle_comsumption
463,12001,3412,19169,2055,2228,18549,1486,middle_comsumption
464,10145,3309,11422,2153,1571,20837,798,middle_comsumption
465,13751,2181,17850,2347,1561,20829,1605,middle_comsumption
466,14277,3377,21115,2964,3854,19815,5351,middle_comsumption
467,13581,2724,18784,2836,2548,19756,3166,middle_comsumption
468,17786,4011,21060,2713,1275,20784,3290,middle_comsumption
469,10001,3799,13951,1992,1730,21470,1294,middle_comsumption
470,15312,1565,20732,2503,4783,19273,3285,high_consumption
471,15707,2194,23278,2409,3078,17581,1422,middle_comsumption
472,21952,7097,23634,3469,5663,20237,6041,high_consumption
473,16893,6523,20605,4043,6785,19355,8305,high_consumption
474,15126,6752,22497,3676,4209,14655,8654,high_consumption
475,20761,5921,27866,5571,4204,21663,14865,high_consumption
476,19272,4795,24739,5168,4615,19422,10598,high_consumption
477,10576,11976,18437,1819,1330,7818,5895,middle_comsumption
478,18653,5435,18955,4659,5183,17689,10119,high_consumption
479,14246,4196,18965,2742,2769,20706,2750,middle_comsumption
480,14940,5568,11353,3022,1255,16927,10511,middle_comsumption
481,19691,16044,35052,3772,2341,20162,13860,middle_comsumption
482,17090,6807,25111,4818,4562,18064,11194,high_consumption
483,25291,16435,10041,3581,854,16788,11984,middle_comsumption
484,18420,2395,23825,4869,5632,18366,6655,high_consumption
485,21400,4140,21839,5021,5711,14998,13317,high_consumption
486,40753,53568,23805,6300,2529,26847,21483,low_consumption
487,17568,7455,24541,3863,5326,16123,9826,high_consumption
488,17163,3269,20519,4527,5464,16472,11124,high_consumption
489,15372,7220,25751,2215,4686,11922,5680,high_consumption
490,12955,6626,17394,2710,4078,12145,2734,middle_comsumption
491,30032,8975,6405,3512,2236,10932,19556,middle_comsumption
492,78180,45879,18933,17336,2290,39303,85487,low_consumption
493,19663,4909,23061,4180,5250,16865,11395,high_consumption
494,14879,7863,14035,2908,4728,12834,8269,high_consumption
495,12020,11050,15703,2363,2078,11550,9865,middle_comsumption
496,14421,10663,24493,2538,2638,12035,8454,middle_comsumption
497,31902,48010,5711,2867,56,7765,27933,middle_comsumption
498,42144,53383,20879,2519,3041,20027,26229,low_consumption
499,37738,93848,3846,2929,2964,38026,14110,low_consumption
500,15046,6668,22761,3345,2926,15458,9683,middle_comsumption
501,16368,3829,10544,3929,3054,13672,7465,middle_comsumption
502,15014,5745,25655,2260,2584,14743,5017,middle_comsumption
503,19250,9184,57251,2635,1524,21421,6712,middle_comsumption
504,10422,8196,26619,1438,1857,9248,7879,middle_comsumption
505,48882,118439,14749,11867,1593,27063,43183,low_consumption
506,52530,131451,9006,7794,2867,46367,11961,low_consumption
507,55406,91085,995,558,1952,20574,16365,low_consumption
508,55039,72288,23836,6974,1543,24917,33632,low_consumption
509,40076,44633,263,6996,6277,5830,13088,high_consumption
510,10029,5185,3571,2974,114,6805,14825,middle_comsumption
511,23695,11917,8609,6604,2387,21512,30585,middle_comsumption
512,25496,8174,4529,3494,2365,10036,18309,middle_comsumption
513,22613,4715,29177,5806,6667,18697,13098,high_consumption
