index,SAYUR-SAYURAN,UMBI-UMBIAN,IKAN,TELUR,SUSU,PADI PADIAN,DAGING,KONSUMSI
103,15937,2255,15697,4227,4510,16284,8056,high_consumption
104,15505,2005,17140,4417,4576,17093,7533,high_consumption
105,11703,725,7672,2866,2330,18696,4119,middle_comsumption
106,12720,1049,11241,3546,2970,14497,6223,middle_comsumption
107,10333,1649,12436,3572,2654,15488,5136,middle_comsumption
108,11728,1111,8237,2502,1776,14731,4501,middle_comsumption
109,11590,1661,11177,3600,3339,17909,5085,middle_comsumption
110,13318,1774,13294,2958,2501,18577,7796,middle_comsumption
111,12345,2146,18035,4593,10028,14203,8900,high_consumption
112,9993,1256,12028,3993,6613,13502,6124,high_consumption
113,11477,1237,7964,3045,3035,14884,5942,middle_comsumption
114,12893,1507,11628,3626,5261,14608,6834,high_consumption
115,13213,1162,15533,3544,4411,19581,7483,middle_comsumption
116,14642,1214,8828,3305,2699,19138,5201,middle_comsumption
117,14979,1673,11001,3325,3275,18436,7320,middle_comsumption
118,13518,1274,14455,3202,2085,20520,7521,middle_comsumption
119,14343,1484,12960,3679,2852,17426,5995,middle_comsumption
120,15871,1481,14494,3658,3212,19768,8487,middle_comsumption
121,15639,1282,12656,3629,2649,17507,6364,middle_comsumption
122,14289,1137,10140,2952,2891,20084,5211,middle_comsumption
123,15041,1266,11320,3145,2327,19133,6367,middle_comsumption
124,15666,1473,16620,5095,5265,17350,10188,high_consumption
125,13688,1475,11357,3841,2698,19866,5161,middle_comsumption
126,12854,991,9338,3518,2319,16504,3627,middle_comsumption
127,14195,1271,11472,4051,2690,17374,5843,middle_comsumption
128,13075,1467,9639,4468,3159,16026,5564,middle_comsumption
129,13036,1291,8829,3879,3201,15128,5610,middle_comsumption
130,12726,939,9657,3910,2502,15741,4369,middle_comsumption
131,13795,1128,10768,4198,3551,17581,5340,middle_comsumption
132,13897,1055,10869,3564,3216,15669,4725,middle_comsumption
133,13679,911,8937,3440,2789,15400,4448,middle_comsumption
134,12226,704,8377,4098,3631,14608,4244,middle_comsumption
135,13840,933,9982,3604,3569,16491,5115,middle_comsumption
136,12734,988,8493,2800,2918,16332,4108,middle_comsumption
137,12331,1016,11993,2903,2268,17478,3541,middle_comsumption
138,15144,1618,17882,5128,5799,15267,10144,high_consumption
139,12155,925,12587,4408,6622,12830,7976,high_consumption
140,17925,1702,27321,4398,6962,17890,14140,high_consumption
141,17394,1664,26711,5850,7075,18858,12894,high_consumption
142,15257,1344,23736,4247,5153,18024,11671,high_consumption
143,18229,1601,24249,4421,6303,18646,15025,high_consumption
144,17611,1103,22736,4258,4485,20244,14600,high_consumption
145,19931,1726,33813,6537,7083,20283,15205,high_consumption
146,19709,2066,29559,5288,10615,16487,16964,high_consumption
147,14587,1494,21136,3848,5174,13456,8198,high_consumption
148,16791,2425,21487,5246,4759,14997,11180,high_consumption
149,13791,1972,19918,4788,6314,14514,5686,high_consumption
150,13076,1800,21960,4354,4949,16306,7139,high_consumption
151,17825,2170,22829,5810,7131,15407,7590,high_consumption
152,19351,2221,24446,5215,9095,16711,13634,high_consumption
153,14812,1568,15377,4457,4931,11552,9811,high_consumption
154,16381,1551,22310,5435,3550,20298,11727,middle_comsumption
155,19570,2965,19511,5748,9321,17173,19197,high_consumption
156,16772,2603,18729,5899,9826,15099,18386,high_consumption
157,14587,1807,14193,4327,5901,13650,13867,high_consumption
